step,loss
1,5.080350875854492
2,5.186191082000732
3,5.2002034187316895
4,5.066802978515625
5,5.097171783447266
6,5.033316135406494
7,4.898099899291992
8,4.823349475860596
9,4.848181247711182
10,4.775226593017578
11,4.649017333984375
12,4.458860397338867
13,4.429631233215332
14,4.308127403259277
15,4.208516597747803
16,4.058295249938965
17,4.009223937988281
18,3.885140895843506
19,3.770193099975586
20,3.6381609439849854
21,3.470644474029541
22,3.4161202907562256
23,3.361257553100586
24,3.148268222808838
25,2.991858720779419
26,3.039043426513672
27,2.891662120819092
28,2.8149526119232178
29,2.7921929359436035
30,2.6385629177093506
31,2.6294078826904297
32,2.505563497543335
33,2.4606003761291504
34,2.3878977298736572
35,2.4474616050720215
36,2.370455026626587
37,2.2667770385742188
38,2.178422212600708
39,2.184791326522827
40,2.183966636657715
41,2.1222329139709473
42,2.0685102939605713
43,2.065821886062622
44,2.0496482849121094
45,2.0227394104003906
46,2.0838654041290283
47,1.9514633417129517
48,1.9418748617172241
49,1.8752537965774536
50,1.8532273769378662
51,1.794101595878601
52,1.7978957891464233
53,1.7776572704315186
54,1.7435373067855835
55,1.7467981576919556
56,1.701788067817688
57,1.665369987487793
58,1.6705509424209595
59,1.653362512588501
60,1.5780655145645142
61,1.659909725189209
62,1.540662407875061
63,1.5219343900680542
64,1.52590012550354
65,1.5085188150405884
66,1.4957917928695679
67,1.385080337524414
68,1.40183687210083
69,1.4355171918869019
70,1.3568967580795288
71,1.3996680974960327
72,1.3595430850982666
73,1.3410242795944214
74,1.3679389953613281
75,1.2631088495254517
76,1.2819643020629883
77,1.2414928674697876
78,1.240729570388794
79,1.2200654745101929
80,1.1986498832702637
81,1.221619725227356
82,1.1473252773284912
83,1.1295610666275024
84,1.1316498517990112
85,1.1218311786651611
86,1.0943272113800049
87,1.0681815147399902
88,1.07871675491333
89,1.067726731300354
90,1.0598771572113037
91,1.0436195135116577
92,1.0353829860687256
93,1.0081877708435059
94,0.9945828914642334
95,0.9814167022705078
96,0.9627752900123596
97,0.9443835616111755
98,0.9215447306632996
99,0.934249758720398
100,0.9134334325790405
101,0.9023811221122742
102,0.8477542400360107
103,0.8681825995445251
104,0.8641177415847778
105,0.8658838272094727
106,0.8406738042831421
107,0.8226227760314941
108,0.7959845066070557
109,0.8180297613143921
110,0.7878838181495667
111,0.7626151442527771
112,0.7793417572975159
113,0.7721158266067505
114,0.7342740893363953
115,0.7304449677467346
116,0.7107324600219727
117,0.7311059236526489
118,0.7119686007499695
119,0.6926765441894531
120,0.6654618382453918
121,0.6879811882972717
122,0.6558660864830017
123,0.6456974744796753
124,0.6600678563117981
125,0.6401655077934265
126,0.6180472373962402
127,0.614763617515564
128,0.6054324507713318
129,0.6016019582748413
130,0.5879808068275452
131,0.5738608241081238
132,0.5733029246330261
133,0.5776383876800537
134,0.5688304305076599
135,0.559345543384552
136,0.5568318367004395
137,0.5793414115905762
138,0.5388977527618408
139,0.5385635495185852
140,0.5333438515663147
141,0.5321670174598694
142,0.5105627775192261
143,0.5068019032478333
144,0.499193400144577
145,0.4838579297065735
146,0.49063804745674133
147,0.4992515444755554
148,0.46722739934921265
149,0.508651077747345
150,0.47183069586753845
151,0.4597560465335846
152,0.4664651155471802
153,0.45198169350624084
154,0.435177206993103
155,0.44488969445228577
156,0.4462118148803711
157,0.43038201332092285
158,0.4178966283798218
159,0.4262538552284241
160,0.4278523921966553
161,0.413534939289093
162,0.4104264974594116
163,0.4162057340145111
164,0.4237167537212372
165,0.39189794659614563
166,0.37458840012550354
167,0.3844800889492035
168,0.39178141951560974
169,0.3870915472507477
170,0.35409992933273315
171,0.37836751341819763
172,0.37290799617767334
173,0.36966267228126526
174,0.3548882305622101
175,0.3515544831752777
176,0.33227604627609253
177,0.3644563853740692
178,0.3852139711380005
179,0.33363762497901917
180,0.3357027471065521
181,0.3392893970012665
182,0.3424972891807556
183,0.3098580837249756
184,0.3340812027454376
185,0.3188217282295227
186,0.3141464293003082
187,0.317760705947876
188,0.3205091953277588
189,0.2953430414199829
190,0.2947848439216614
191,0.3050817549228668
192,0.30157044529914856
193,0.2957329750061035
194,0.2976064085960388
195,0.3093883693218231
196,0.2958603501319885
197,0.2865661084651947
198,0.28952133655548096
199,0.28495728969573975
200,0.2615725100040436
201,0.27391645312309265
202,0.27320441603660583
203,0.2811421751976013
204,0.27005842328071594
205,0.2769263982772827
206,0.25444430112838745
207,0.2827517092227936
208,0.2614639103412628
209,0.25018489360809326
210,0.25870397686958313
211,0.26897820830345154
212,0.2551043629646301
213,0.25855907797813416
214,0.24767911434173584
215,0.26316824555397034
216,0.23404836654663086
217,0.23994842171669006
218,0.2514376640319824
219,0.2334609031677246
220,0.2304455041885376
221,0.2405058890581131
222,0.23019860684871674
223,0.2288615107536316
224,0.22072090208530426
225,0.23262102901935577
226,0.21868719160556793
227,0.2136044204235077
228,0.23454539477825165
229,0.20712274312973022
230,0.22371189296245575
231,0.2295411378145218
232,0.22275082767009735
233,0.2241828441619873
234,0.21049471199512482
235,0.21697379648685455
236,0.2055741846561432
237,0.21485894918441772
238,0.20100928843021393
239,0.20889882743358612
240,0.22180521488189697
241,0.2204204499721527
242,0.20434501767158508
243,0.1972993165254593
244,0.20153620839118958
245,0.2037321925163269
246,0.1880161017179489
247,0.18866907060146332
248,0.18915309011936188
249,0.18703773617744446
250,0.18339380621910095
251,0.1889011710882187
252,0.18322917819023132
253,0.1884436309337616
254,0.18426035344600677
255,0.19906878471374512
256,0.18507273495197296
257,0.19536426663398743
258,0.16724102199077606
259,0.17778441309928894
260,0.17552120983600616
261,0.17153920233249664
262,0.19052210450172424
263,0.16911451518535614
264,0.17582018673419952
265,0.17692004144191742
266,0.16251103579998016
267,0.17100585997104645
268,0.16519761085510254
269,0.16860054433345795
270,0.17192263901233673
271,0.16893616318702698
272,0.1643369495868683
273,0.16508765518665314
274,0.18396659195423126
275,0.17085705697536469
276,0.1631016880273819
277,0.16238805651664734
278,0.15622740983963013
279,0.15300248563289642
280,0.15873698890209198
281,0.17220965027809143
282,0.15300574898719788
283,0.15687035024166107
284,0.16201162338256836
285,0.16493655741214752
286,0.16489164531230927
287,0.16046695411205292
288,0.1508990228176117
289,0.146926611661911
290,0.15082910656929016
291,0.1486138552427292
