patch_size,n_patches,patch_dim,embed_dim,n_params,bits_per_pixel,bits_per_patch,mse_per_dim,train_time_hrs
8,144,192,192,3662592,1.1849706998181397,910.0574974603313,0.013420060035509941,0.0861115809281667
12,64,432,432,18366912,0.9284340181142435,713.037325911739,0.019151594203475782,0.08109306732813518
16,36,768,512,26030336,0.7644178879968417,587.0729379815745,0.0240409973689488,0.0840886382261912
24,16,1728,512,27004096,0.5695231954187687,437.3938140816144,0.03149856565499012,0.08191338512632582
32,9,3072,512,28378112,0.44699233473395095,343.2901130756743,0.03733031948407491,0.08294967128170862
48,4,6912,512,32311552,0.28961090756256214,222.42117700804772,0.046431719532719365,0.08433656632900238
